image_path,filename_base,human_x1,human_y1,human_x2,human_y2,weapon_x1,weapon_y1,weapon_x2,weapon_y2,label_original,label
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_54.png,Collection+The+gun+rifle+scenes_54.png,27,71,588,303,0,0,474,331,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_51.png,Collection+The+gun+rifle+scenes_51.png,215,12,1152,1195,128,0,1232,1298,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_50.png,Collection+The+gun+rifle+scenes_50.png,128,86,704,430,8,94,717,442,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_47.png,Collection+The+gun+rifle+scenes_47.png,106,262,896,474,43,81,587,623,1,1
data/Training_Dataset/images/Collection+The+gun+rifle+scenes_37.png,Collection+The+gun+rifle+scenes_37.png,358,266,1901,847,144,249,1267,1079,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_97.png,Collateral(film)+gun+scenes_97.png,3,370,52,477,0,0,235,562,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_8.png,Collateral(film)+gun+scenes_8.png,616,62,909,184,147,25,803,527,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_8.png,Collateral(film)+gun+scenes_8.png,616,62,909,184,924,46,1279,527,2,0
data/Training_Dataset/images/Collateral(film)+gun+scenes_78.png,Collateral(film)+gun+scenes_78.png,53,261,92,321,46,4,236,333,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_70.png,Collateral(film)+gun+scenes_70.png,155,957,380,1189,125,0,889,1199,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_62.png,Collateral(film)+gun+scenes_62.png,173,758,403,1062,15,108,756,1077,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_6.png,Collateral(film)+gun+scenes_6.png,707,279,799,364,467,0,801,718,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_58.png,Collateral(film)+gun+scenes_58.png,305,142,413,209,52,132,571,358,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_49.png,Collateral(film)+gun+scenes_49.png,85,765,186,973,35,16,636,1145,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_44.png,Collateral(film)+gun+scenes_44.png,372,474,696,623,13,36,669,644,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_44.png,Collateral(film)+gun+scenes_44.png,372,474,696,623,703,11,1023,644,2,0
data/Training_Dataset/images/Collateral(film)+gun+scenes_44.png,Collateral(film)+gun+scenes_44.png,372,474,696,623,221,61,563,421,2,0
data/Training_Dataset/images/Collateral(film)+gun+scenes_40.png,Collateral(film)+gun+scenes_40.png,39,163,216,275,149,77,479,277,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_36.png,Collateral(film)+gun+scenes_36.png,72,255,267,432,118,0,757,438,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_3.png,Collateral(film)+gun+scenes_3.png,158,166,514,439,294,0,1279,527,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_26.png,Collateral(film)+gun+scenes_26.png,106,466,412,753,168,16,1156,790,1,1
data/Training_Dataset/images/Collateral(film)+gun+scenes_11.png,Collateral(film)+gun+scenes_11.png,931,244,1096,409,1524,127,1859,799,2,0
data/Training_Dataset/images/Collateral(film)+gun+scenes_11.png,Collateral(film)+gun+scenes_11.png,931,244,1096,409,483,95,1058,799,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_92.png,Cold+Mountain+movie+gun+rifle+scenes_92.png,81,357,538,785,63,159,1276,1077,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_92.png,Cold+Mountain+movie+gun+rifle+scenes_92.png,81,357,538,785,1495,544,1921,786,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,25,70,462,599,579,25,1086,629,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,25,70,462,599,127,45,668,629,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,25,70,462,599,984,0,1199,579,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,499,46,819,610,579,25,1086,629,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,499,46,819,610,127,45,668,629,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_79.png,Cold+Mountain+movie+gun+rifle+scenes_79.png,499,46,819,610,984,0,1199,579,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_73.png,Cold+Mountain+movie+gun+rifle+scenes_73.png,226,235,772,503,108,2,689,540,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_63.png,Cold+Mountain+movie+gun+rifle+scenes_63.png,218,91,342,201,197,45,349,344,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_61.png,Cold+Mountain+movie+gun+rifle+scenes_61.png,57,126,217,171,45,0,189,284,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_50.png,Cold+Mountain+movie+gun+rifle+scenes_50.png,57,108,469,263,366,27,599,262,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_50.png,Cold+Mountain+movie+gun+rifle+scenes_50.png,57,108,469,263,0,2,342,262,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_48.png,Cold+Mountain+movie+gun+rifle+scenes_48.png,18,99,236,162,0,11,122,154,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_48.png,Cold+Mountain+movie+gun+rifle+scenes_48.png,18,99,236,162,133,23,236,168,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_46.png,Cold+Mountain+movie+gun+rifle+scenes_46.png,112,64,340,208,139,2,504,349,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_3.png,Cold+Mountain+movie+gun+rifle+scenes_3.png,116,111,305,299,64,37,322,300,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_20.png,Cold+Mountain+movie+gun+rifle+scenes_20.png,107,101,173,179,61,7,247,224,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_20.png,Cold+Mountain+movie+gun+rifle+scenes_20.png,107,101,173,179,235,78,367,224,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_20.png,Cold+Mountain+movie+gun+rifle+scenes_20.png,273,152,314,219,61,7,247,224,2,0
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_20.png,Cold+Mountain+movie+gun+rifle+scenes_20.png,273,152,314,219,235,78,367,224,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_2.png,Cold+Mountain+movie+gun+rifle+scenes_2.png,183,111,309,213,107,0,385,271,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_17.png,Cold+Mountain+movie+gun+rifle+scenes_17.png,311,151,598,226,279,55,444,253,1,1
data/Training_Dataset/images/Cold+Mountain+movie+gun+rifle+scenes_17.png,Cold+Mountain+movie+gun+rifle+scenes_17.png,311,151,598,226,0,9,297,255,2,0
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,145,240,250,494,310,61,496,727,2,0
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,145,240,250,494,20,59,362,735,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,145,240,250,494,464,37,710,735,2,0
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,340,384,427,478,310,61,496,727,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,340,384,427,478,20,59,362,735,2,0
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_98.png,Cobra+(TV+Series)+gun+rifle+scenes_98.png,340,384,427,478,464,37,710,735,2,0
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_77.png,Cobra+(TV+Series)+gun+rifle+scenes_77.png,365,292,850,524,389,150,1152,565,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_71.png,Cobra+(TV+Series)+gun+rifle+scenes_71.png,37,125,195,437,95,31,657,1015,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_70.png,Cobra+(TV+Series)+gun+rifle+scenes_70.png,340,92,494,323,237,52,533,428,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_7.png,Cobra+(TV+Series)+gun+rifle+scenes_7.png,498,161,941,553,464,29,1090,718,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_68.png,Cobra+(TV+Series)+gun+rifle+scenes_68.png,325,81,384,191,131,62,384,336,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_54.png,Cobra+(TV+Series)+gun+rifle+scenes_54.png,488,354,882,610,204,30,689,645,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_5.png,Cobra+(TV+Series)+gun+rifle+scenes_5.png,85,80,433,237,146,13,591,246,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_34.png,Cobra+(TV+Series)+gun+rifle+scenes_34.png,202,120,803,582,7,0,673,718,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_24.png,Cobra+(TV+Series)+gun+rifle+scenes_24.png,217,225,579,338,214,17,513,337,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_24.png,Cobra+(TV+Series)+gun+rifle+scenes_24.png,217,225,579,338,0,0,211,337,1,1
data/Training_Dataset/images/Cobra+(TV+Series)+gun+rifle+scenes_14.png,Cobra+(TV+Series)+gun+rifle+scenes_14.png,53,8,415,288,0,6,443,358,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_9.png,Cleopatra+Jones+gun+rifle+scenes_9.png,220,88,277,136,33,72,263,240,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_87.png,Cleopatra+Jones+gun+rifle+scenes_87.png,8,66,112,252,49,31,432,710,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_8.png,Cleopatra+Jones+gun+rifle+scenes_8.png,7,70,305,239,483,0,599,253,2,0
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_8.png,Cleopatra+Jones+gun+rifle+scenes_8.png,7,70,305,239,212,51,419,253,2,0
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_8.png,Cleopatra+Jones+gun+rifle+scenes_8.png,7,70,305,239,0,0,210,253,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_77.png,Cleopatra+Jones+gun+rifle+scenes_77.png,273,72,315,119,114,36,332,296,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_56.png,Cleopatra+Jones+gun+rifle+scenes_56.png,699,228,882,527,228,0,1008,718,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_46.png,Cleopatra+Jones+gun+rifle+scenes_46.png,165,81,230,150,19,0,257,232,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_36.png,Cleopatra+Jones+gun+rifle+scenes_36.png,577,137,784,545,16,0,756,618,1,1
data/Training_Dataset/images/Cleopatra+Jones+gun+rifle+scenes_15.png,Cleopatra+Jones+gun+rifle+scenes_15.png,138,82,186,147,52,13,382,598,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_9.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_9.png,128,18,180,90,38,7,169,145,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_87.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_87.png,152,48,434,437,9,7,358,433,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_71.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_71.png,76,67,318,203,0,107,480,262,0,0
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_71.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_71.png,289,84,524,243,0,107,480,262,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_70.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_70.png,135,147,753,426,14,19,655,468,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_67.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_67.png,249,57,321,199,231,35,489,479,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_67.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_67.png,249,57,321,199,475,95,645,479,2,0
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_53.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_53.png,216,124,287,209,25,51,328,319,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_35.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_35.png,1,112,297,437,0,35,735,553,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_29.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_29.png,131,76,177,151,52,13,382,598,1,1
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,94,85,346,161,399,26,571,251,2,0
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,94,85,346,161,243,23,388,252,2,0
data/Training_Dataset/images/Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,Cleopatra+Jones+and+the+Casino+of+Gold+gun+rifle+scenes_10.png,94,85,346,161,44,17,283,251,1,1
data/Training_Dataset/images/City+Hunter+(Anime)+gun+rifle+scenes_52.png,City+Hunter+(Anime)+gun+rifle+scenes_52.png,39,128,365,300,142,0,980,1346,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_91.png,City+Hunter+(2011)+gun+rifle+scenes_91.png,39,147,344,294,237,82,849,359,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_90.png,City+Hunter+(2011)+gun+rifle+scenes_90.png,518,212,872,424,721,200,1314,704,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_90.png,City+Hunter+(2011)+gun+rifle+scenes_90.png,518,212,872,424,886,433,1335,1017,2,0
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_78.png,City+Hunter+(2011)+gun+rifle+scenes_78.png,204,57,394,335,252,0,599,337,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_69.png,City+Hunter+(2011)+gun+rifle+scenes_69.png,90,90,282,370,0,28,300,382,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_4.png,City+Hunter+(2011)+gun+rifle+scenes_4.png,55,129,151,190,108,54,470,332,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_30.png,City+Hunter+(2011)+gun+rifle+scenes_30.png,311,113,494,617,85,54,494,824,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_25.png,City+Hunter+(2011)+gun+rifle+scenes_25.png,81,3,507,284,304,94,581,337,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_16.png,City+Hunter+(2011)+gun+rifle+scenes_16.png,65,54,488,336,244,0,599,311,1,1
data/Training_Dataset/images/City+Hunter+(2011)+gun+rifle+scenes_14.png,City+Hunter+(2011)+gun+rifle+scenes_14.png,161,93,495,275,73,0,476,337,1,1
data/Training_Dataset/images/Chronicles+of+the+Ghostly+Tribe+gun+rifle+scenes_98.png,Chronicles+of+the+Ghostly+Tribe+gun+rifle+scenes_98.png,125,256,608,505,0,179,537,755,1,1
data/Training_Dataset/images/Chronicles+of+the+Ghostly+Tribe+gun+rifle+scenes_41.png,Chronicles+of+the+Ghostly+Tribe+gun+rifle+scenes_41.png,65,144,600,258,0,0,508,284,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_99.png,Che+Part+Two+movie+gun+rifle+scenes_99.png,39,115,374,208,4,52,281,247,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_99.png,Che+Part+Two+movie+gun+rifle+scenes_99.png,39,115,374,208,162,0,505,247,2,0
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_99.png,Che+Part+Two+movie+gun+rifle+scenes_99.png,226,60,593,114,4,52,281,247,2,0
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_99.png,Che+Part+Two+movie+gun+rifle+scenes_99.png,226,60,593,114,162,0,505,247,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_94.png,Che+Part+Two+movie+gun+rifle+scenes_94.png,78,149,154,184,128,5,337,188,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_92.png,Che+Part+Two+movie+gun+rifle+scenes_92.png,370,514,1865,1033,143,282,946,1354,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_89.png,Che+Part+Two+movie+gun+rifle+scenes_89.png,112,60,447,221,0,0,371,247,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_81.png,Che+Part+Two+movie+gun+rifle+scenes_81.png,237,265,557,796,30,0,581,952,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_67.png,Che+Part+Two+movie+gun+rifle+scenes_67.png,113,89,321,321,20,154,400,375,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_60.png,Che+Part+Two+movie+gun+rifle+scenes_60.png,237,19,445,149,159,8,341,251,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_36.png,Che+Part+Two+movie+gun+rifle+scenes_36.png,191,26,391,208,48,30,315,286,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_26.png,Che+Part+Two+movie+gun+rifle+scenes_26.png,161,30,277,152,184,32,515,259,1,1
data/Training_Dataset/images/Che+Part+Two+movie+gun+rifle+scenes_26.png,Che+Part+Two+movie+gun+rifle+scenes_26.png,429,1,524,110,184,32,515,259,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_80.png,Che+Part+One+movie+gun+rifle+scenes_80.png,77,75,306,193,1,1,290,199,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_79.png,Che+Part+One+movie+gun+rifle+scenes_79.png,158,166,722,533,83,0,678,1127,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_68.png,Che+Part+One+movie+gun+rifle+scenes_68.png,78,61,447,232,0,0,372,245,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_60.png,Che+Part+One+movie+gun+rifle+scenes_60.png,154,37,467,170,111,3,453,254,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_60.png,Che+Part+One+movie+gun+rifle+scenes_60.png,154,37,467,170,0,82,159,254,2,0
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_59.png,Che+Part+One+movie+gun+rifle+scenes_59.png,42,114,539,237,1,61,408,247,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_54.png,Che+Part+One+movie+gun+rifle+scenes_54.png,244,102,770,387,474,10,1184,609,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_53.png,Che+Part+One+movie+gun+rifle+scenes_53.png,43,113,468,248,2,62,398,247,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_40.png,Che+Part+One+movie+gun+rifle+scenes_40.png,207,252,555,807,30,0,581,952,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_31.png,Che+Part+One+movie+gun+rifle+scenes_31.png,406,1,527,137,184,32,515,259,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_31.png,Che+Part+One+movie+gun+rifle+scenes_31.png,147,19,282,157,184,32,515,259,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_21.png,Che+Part+One+movie+gun+rifle+scenes_21.png,70,45,530,261,0,0,356,274,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_2.png,Che+Part+One+movie+gun+rifle+scenes_2.png,169,99,596,358,90,2,450,395,1,1
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_16.png,Che+Part+One+movie+gun+rifle+scenes_16.png,162,40,417,396,296,0,581,395,2,0
data/Training_Dataset/images/Che+Part+One+movie+gun+rifle+scenes_16.png,Che+Part+One+movie+gun+rifle+scenes_16.png,162,40,417,396,151,112,357,395,1,1
data/Training_Dataset/images/Chase+2010+movie+gunfight+scenes_76.png,Chase+2010+movie+gunfight+scenes_76.png,374,379,509,548,394,0,895,574,1,1
